Indicator,Category,BASE,ST 0 à 5,ST 6 à 8,ST 9 à 10,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,No rep.,Moyenne,Question
Politics,Very Right,429.8207,0.7528173957187265,0.17602179234271406,0.033845926917898554,0.13108429,0.10539139,0.11143090999999998,0.14420104,0.10499990000000001,0.15571024000000006,0.06009701,0.06914465,0.04678016000000001,0.01991361,0.01393231,0.03731449,3.632098,"new8bv12b. Avez-vous le sentiment que, lorsqu'ils auront votre âge, vos enfants auront une situation plus mauvaise ou meilleure que la vôtre ? Vraiment plus mauvaiseVraiment
meilleure"
Politics,Both left and Right,200.4265,0.7049998999999999,0.155,0.075,0.03379579,0.05275754,0.0649999,0.17359431,0.15115262,0.24131237999999994,0.06668634,0.04550607,0.03591664,0.02598551,0.04573844999999999,0.06255445,4.492687,"new8bv12b. Avez-vous le sentiment que, lorsqu'ils auront votre âge, vos enfants auront une situation plus mauvaise ou meilleure que la vôtre ? Vraiment plus mauvaiseVraiment
meilleure"
Politics,Neither left nor right,1673.316,0.7732263362090603,0.12849491668041182,0.020412809056986246,0.085,0.06702159,0.11444611,0.13245155,0.11078063,0.2635262600000002,0.05282086,0.04984696,0.02582706,0.00970654,0.01070627,0.07786617,3.819961,"new8bv12b. Avez-vous le sentiment que, lorsqu'ils auront votre âge, vos enfants auront une situation plus mauvaise ou meilleure que la vôtre ? Vraiment plus mauvaiseVraiment
meilleure"
Loss of job risk,High risk,556.2398,0.7234236025541503,0.17709604742415053,0.05352765120367151,0.1528889,0.08282314999999998,0.11564551999999999,0.11911393,0.09483841,0.15835717000000024,0.04600043,0.08307626999999998,0.04801941999999999,0.0249999,0.02828406,0.04595284,3.766168,"new8bv12b. Avez-vous le sentiment que, lorsqu'ils auront votre âge, vos enfants auront une situation plus mauvaise ou meilleure que la vôtre ? Vraiment plus mauvaiseVraiment
meilleure"
Loss of job risk,Low risk,1874.312,0.6959054842523551,0.21857732330583168,0.0249999,0.049379679999999995,0.06241426,0.10102639999999999,0.13868582,0.13674303,0.20770568,0.09888306000000001,0.08342031999999999,0.03627389,0.010398989999999999,0.0149999,0.06006897,4.231476,"new8bv12b. Avez-vous le sentiment que, lorsqu'ils auront votre âge, vos enfants auront une situation plus mauvaise ou meilleure que la vôtre ? Vraiment plus mauvaiseVraiment
meilleure"
Loss of job risk,Zero risk,3478.817,0.7114277640933686,0.205,0.0249999,0.04211481,0.04217577,0.09179195,0.15054287,0.145,0.23817087999999978,0.085,0.075,0.04214211,0.013525910000000002,0.01241361,0.06212209,4.33306,"new8bv12b. Avez-vous le sentiment que, lorsqu'ils auront votre âge, vos enfants auront une situation plus mauvaise ou meilleure que la vôtre ? Vraiment plus mauvaiseVraiment
meilleure"
1st round vote,Arthaud,24.07418,0.6687226730048541,0.11391769106985161,0.0783738013091204,0.025,0.06193096,0.1170086,0.11995524,0.14290406,0.20192375999999992,0.05074864,0.03225215,0.0309169,0.02928994,0.049083829999999995,0.13898592,4.377904,"new8bv12b. Avez-vous le sentiment que, lorsqu'ils auront votre âge, vos enfants auront une situation plus mauvaise ou meilleure que la vôtre ? Vraiment plus mauvaiseVraiment
meilleure"
1st round vote,Poutou,32.85668,0.5920963408354101,0.3297253404787094,0.012903555684871388,0.07821031,0.0622313,0.12156956,0.10774467,0.06899696,0.15334343,0.14519921,0.09478739,0.08973874000000001,0.012903559999999998,0.0,0.06527498,4.322189,"new8bv12b. Avez-vous le sentiment que, lorsqu'ils auront votre âge, vos enfants auront une situation plus mauvaise ou meilleure que la vôtre ? Vraiment plus mauvaiseVraiment
meilleure"
1st round vote,Roussel,98.04205,0.6781237234431552,0.2349999,0.01900955763368881,0.0213493,0.03836815,0.095,0.13249233,0.19339243,0.19752192999999998,0.10996047,0.08272556,0.043579650000000004,0.01108558,0.00792398,0.06660062,4.453243,"new8bv12b. Avez-vous le sentiment que, lorsqu'ils auront votre âge, vos enfants auront une situation plus mauvaise ou meilleure que la vôtre ? Vraiment plus mauvaiseVraiment
meilleure"
1st round vote,Melenchon,942.3053,0.7197543089272659,0.21114515645831558,0.023794050611834615,0.04867192,0.0519261,0.10940276000000002,0.17227124,0.12503644,0.21244536999999997,0.06402861,0.09029284000000001,0.0568236,0.01417789,0.00961615,0.04530658,4.236431,"new8bv12b. Avez-vous le sentiment que, lorsqu'ils auront votre âge, vos enfants auront une situation plus mauvaise ou meilleure que la vôtre ? Vraiment plus mauvaiseVraiment
meilleure"
1st round vote,Hidalgo,75.31895,0.7349998999999999,0.195,0.015461142249062155,0.00750073,0.03287148,0.0895966,0.10170601,0.20466735,0.30371653,0.08742464,0.06813186,0.03721561,0.0,0.01546114,0.051708330000000004,4.54316,"new8bv12b. Avez-vous le sentiment que, lorsqu'ils auront votre âge, vos enfants auront une situation plus mauvaise ou meilleure que la vôtre ? Vraiment plus mauvaiseVraiment
meilleure"
1st round vote,Jadot,198.8808,0.6622640295091331,0.245,0.02445622704655251,0.01722491,0.02425548,0.07942577,0.10921632,0.1610882,0.2706278199999999,0.095,0.1106059,0.035,0.020986749999999995,0.00346949,0.07309936,4.698785,"new8bv12b. Avez-vous le sentiment que, lorsqu'ils auront votre âge, vos enfants auront une situation plus mauvaise ou meilleure que la vôtre ? Vraiment plus mauvaiseVraiment
meilleure"
1st round vote,Macron,1195.294,0.582367852595261,0.32399878188964387,0.036172489780756864,0.00903875,0.013954439999999999,0.04029977,0.1057718,0.13830249000000008,0.2749999,0.12403702,0.12921934,0.07074242,0.01860423,0.01756826,0.05746158,5.196763,"new8bv12b. Avez-vous le sentiment que, lorsqu'ils auront votre âge, vos enfants auront une situation plus mauvaise ou meilleure que la vôtre ? Vraiment plus mauvaiseVraiment
meilleure"
1st round vote,Pecresse,205.1207,0.7184750247049664,0.22157734446109045,0.015398421514747171,0.02085976,0.04622003,0.05393541,0.13775192,0.16329893000000004,0.29640894,0.1205635,0.07192005,0.02909379,0.01539842,0.0,0.04454876,4.501273,"new8bv12b. Avez-vous le sentiment que, lorsqu'ils auront votre âge, vos enfants auront une situation plus mauvaise ou meilleure que la vôtre ? Vraiment plus mauvaiseVraiment
meilleure"
1st round vote,Dupont-Aignan,88.56025,0.7607725813782144,0.14499990000000001,0.015069729365036796,0.0791975,0.05481788,0.16606389,0.25873710000000016,0.0649999,0.13708588,0.06313784,0.0449999,0.03848254,0.00767999,0.007389739999999999,0.07740784,3.527198,"new8bv12b. Avez-vous le sentiment que, lorsqu'ils auront votre âge, vos enfants auront une situation plus mauvaise ou meilleure que la vôtre ? Vraiment plus mauvaiseVraiment
meilleure"
1st round vote,Zemmour,303.4525,0.8051335876290359,0.1575255105823811,0.004893503925655581,0.047239680000000006,0.07737185,0.1509889,0.18201827,0.1350905,0.21242475,0.07164354,0.06705214,0.01882986,0.00222458,0.00266893,0.03244731,3.746013,"new8bv12b. Avez-vous le sentiment que, lorsqu'ils auront votre âge, vos enfants auront une situation plus mauvaise ou meilleure que la vôtre ? Vraiment plus mauvaiseVraiment
meilleure"
1st round vote,Le Pen,993.0248,0.7620668688234171,0.17180839793729222,0.025832094022223816,0.095,0.08855507,0.11359374,0.15882725,0.13299889,0.17217608999999998,0.08072036,0.06083811,0.03024996,0.015,0.0117479,0.04029263,3.739963,"new8bv12b. Avez-vous le sentiment que, lorsqu'ils auront votre âge, vos enfants auront une situation plus mauvaise ou meilleure que la vôtre ? Vraiment plus mauvaiseVraiment
meilleure"
1st round vote,Lassalle,134.5409,0.7556943650592497,0.16762493784417973,0.01479337510006251,0.02996909,0.057842859999999996,0.10323456,0.18174859999999998,0.21707942,0.16581991,0.10128013,0.045915340000000006,0.020429449999999995,0.0,0.01479338,0.06188676,3.99465,"new8bv12b. Avez-vous le sentiment que, lorsqu'ils auront votre âge, vos enfants auront une situation plus mauvaise ou meilleure que la vôtre ? Vraiment plus mauvaiseVraiment
meilleure"
1st round vote,Blank/Null/NA,96.61228,0.7436582595918448,0.1500573219056625,0.011414729059287287,0.02620821,0.07405599,0.09348365999999998,0.13146331,0.13174371,0.28657303,0.05742538,0.04390577,0.04872621,0.0,0.01141473,0.095,4.167085,"new8bv12b. Avez-vous le sentiment que, lorsqu'ils auront votre âge, vos enfants auront une situation plus mauvaise ou meilleure que la vôtre ? Vraiment plus mauvaiseVraiment
meilleure"
1st round vote,Blank,63.86856,0.745,0.17075521978262856,0.012864119685804722,0.0349999,0.06970473,0.09668231,0.14732172,0.1363096,0.2585009600000003,0.06632728,0.04495226,0.05947568,0.0,0.01286412,0.07286144,4.160277,"new8bv12b. Avez-vous le sentiment que, lorsqu'ils auront votre âge, vos enfants auront une situation plus mauvaise ou meilleure que la vôtre ? Vraiment plus mauvaiseVraiment
meilleure"
1st round vote,Null,19.09123,0.7471619167544469,0.1296496873171608,0,0.0,0.06816654,0.08043756,0.08306615,0.145,0.37049125,0.041867539999999995,0.04017264,0.04760951000000001,0.0,0.0,0.12318881,4.362871,"new8bv12b. Avez-vous le sentiment que, lorsqu'ils auront votre âge, vos enfants auront une situation plus mauvaise ou meilleure que la vôtre ? Vraiment plus mauvaiseVraiment
meilleure"
2nd round vote,Macron,2287.563,0.6147948712232187,0.2949999,0.035,0.02043609,0.02282053,0.05709806,0.11272729999999999,0.14236906,0.2593446,0.11421631,0.11936152,0.06311909,0.01736525,0.01529869,0.05584576,4.953049,"new8bv12b. Avez-vous le sentiment que, lorsqu'ils auront votre âge, vos enfants auront une situation plus mauvaise ou meilleure que la vôtre ? Vraiment plus mauvaiseVraiment
meilleure"
2nd round vote,Le Pen,1619.66,0.775,0.16454650976130794,0.024270390081869035,0.08815702,0.08653822,0.13030253,0.16708964,0.13060124,0.16740316,0.07375925,0.05733997,0.03344731,0.01187848,0.012391910000000003,0.04109059,3.702304,"new8bv12b. Avez-vous le sentiment que, lorsqu'ils auront votre âge, vos enfants auront une situation plus mauvaise ou meilleure que la vôtre ? Vraiment plus mauvaiseVraiment
meilleure"
2nd round vote,Blank/Null/NA,370.4173,0.7410814775659776,0.1664359898957203,0.0049999,0.02521857,0.05881297,0.10350121,0.22469951000000005,0.14317085,0.18554036000000002,0.06915368,0.06785544,0.02942689,0.00275976,0.00486076,0.085,3.976978,"new8bv12b. Avez-vous le sentiment que, lorsqu'ils auront votre âge, vos enfants auront une situation plus mauvaise ou meilleure que la vôtre ? Vraiment plus mauvaiseVraiment
meilleure"
