Indicator,Category,BASE,ST Extreme gauche,ST Gauche,ST Centre,ST Droite,ST Extrème droite,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,NSP,Question
Loss of job risk,Low risk,1874.312,0.054999900000000004,0.199179645651311,0.16195377290440438,0.275,0.08177832719419179,0.0249999,0.03418303,0.0673405,0.07656842,0.054999900000000004,0.16195377,0.0973434,0.08598931,0.08770029,0.04141411,0.04036421,0.22714316000000026,"nou1. Sur une échelle de 0 à 10, où 0 correspond à la gauche et 10 correspond à la droite, où diriez-vous que vous vous situez ?Cliquer sur le curseur pour vous positionner"
Loss of job risk,Zero risk,3478.817,0.0438553968202409,0.24669771361931367,0.1426380289621443,0.28574937974604586,0.09902682434862195,0.012964110000000001,0.03089128,0.07132427,0.095,0.0806916,0.14263803,0.07548348,0.1042536,0.10601233,0.04960614,0.04942074,0.18171442000000002,"nou1. Sur une échelle de 0 à 10, où 0 correspond à la gauche et 10 correspond à la droite, où diriez-vous que vous vous situez ?Cliquer sur le curseur pour vous positionner"
1st round vote,Arthaud,24.07418,0.07683281424330965,0.2118975599584285,0.1297338476326089,0.11854800454262618,0.0783738013091204,0.05190241,0.025,0.12959515,0.06273302,0.01956936,0.12973385,0.075,0.04362429,0.0,0.02928994,0.049083829999999995,0.38446815000000006,"nou1. Sur une échelle de 0 à 10, où 0 correspond à la gauche et 10 correspond à la droite, où diriez-vous que vous vous situez ?Cliquer sur le curseur pour vous positionner"
1st round vote,Poutou,32.85668,0.165,0.26287379004817285,0.07991851276513634,0.23278523575723417,0.05887597286153075,0.08694816,0.07659158,0.10058344,0.10990127,0.0523891,0.07991851,0.16369399,0.04031381,0.028777439999999998,0.04431902,0.015,0.20156367999999997,"nou1. Sur une échelle de 0 à 10, où 0 correspond à la gauche et 10 correspond à la droite, où diriez-vous que vous vous situez ?Cliquer sur le curseur pour vous positionner"
1st round vote,Roussel,98.04205,0.20348217933019555,0.4149999,0.11536804870971179,0.105,0.010229284271391713,0.03888949,0.16459274,0.1527105,0.19230187,0.07381792,0.11536805,0.02728433,0.03880689,0.0364368,0.01022928,0.0,0.14956174,"nou1. Sur une échelle de 0 à 10, où 0 correspond à la gauche et 10 correspond à la droite, où diriez-vous que vous vous situez ?Cliquer sur le curseur pour vous positionner"
1st round vote,Melenchon,942.3053,0.18512482101077007,0.4895374142541701,0.08647318443396211,0.1191139432198885,0.0149999,0.07608592,0.10903896999999999,0.23349747,0.18719368,0.06884638,0.08647318000000001,0.04232814000000001,0.04849303,0.02829274,0.0137559,0.00245887,0.10353534,"nou1. Sur une échelle de 0 à 10, où 0 correspond à la gauche et 10 correspond à la droite, où diriez-vous que vous vous situez ?Cliquer sur le curseur pour vous positionner"
1st round vote,Hidalgo,75.31895,0.07381666897905508,0.685,0.09053489194950275,0.08144048742049644,0.010815849132256888,0.00468265,0.06913402,0.24776633,0.26956058,0.16683212,0.09053489,0.04389938,0.03047666,0.00706444,0.0,0.01081585,0.05923335,"nou1. Sur une échelle de 0 à 10, où 0 correspond à la gauche et 10 correspond à la droite, où diriez-vous que vous vous situez ?Cliquer sur le curseur pour vous positionner"
1st round vote,Jadot,198.8808,0.03626567773259158,0.515,0.19182133217485048,0.1149999,0,0.0,0.03626568,0.12684105,0.17763806,0.21012471,0.19182133,0.04369125000000001,0.040269490000000005,0.03392714,0.0,0.0,0.13942125,"nou1. Sur une échelle de 0 à 10, où 0 correspond à la gauche et 10 correspond à la droite, où diriez-vous que vous vous situez ?Cliquer sur le curseur pour vous positionner"
1st round vote,Macron,1195.294,0.0046581535588733815,0.20851405595610786,0.21527264421974843,0.4259965330705249,0.0349999,0.00100137,0.00365678,0.01890805,0.06067199000000001,0.12893414,0.21527264,0.17737887000000002,0.15104418,0.09757298,0.02386045,0.01486761,0.10683162,"nou1. Sur une échelle de 0 à 10, où 0 correspond à la gauche et 10 correspond à la droite, où diriez-vous que vous vous situez ?Cliquer sur le curseur pour vous positionner"
1st round vote,Pecresse,205.1207,0,0.01535245833306926,0.0913375880640033,0.7318944406878487,0.0949999,0.0,0.0,0.0,0.00789621,0.00745625,0.09133759,0.1578513,0.31957994000000006,0.2549999,0.09001393,0.0049999,0.06586498,"nou1. Sur une échelle de 0 à 10, où 0 correspond à la gauche et 10 correspond à la droite, où diriez-vous que vous vous situez ?Cliquer sur le curseur pour vous positionner"
1st round vote,Dupont-Aignan,88.56025,0,0.08593995613156016,0.18917934400591688,0.303266646153325,0.18604046397791335,0.0,0.0,0.01933304,0.04959839,0.01700852,0.18975310999999986,0.10456768000000001,0.0400155,0.15868338,0.08724279,0.09879769,0.2349999,"nou1. Sur une échelle de 0 à 10, où 0 correspond à la gauche et 10 correspond à la droite, où diriez-vous que vous vous situez ?Cliquer sur le curseur pour vous positionner"
1st round vote,Zemmour,303.4525,0,0.028893075522528237,0.07002595134329095,0.46946029444476484,0.32578703421458055,0.0,0.0,0.0079864,0.01596547,0.00494121,0.07002595,0.05949214,0.12958068,0.2812211799999999,0.16667139,0.15911568,0.10499990000000001,"nou1. Sur une échelle de 0 à 10, où 0 correspond à la gauche et 10 correspond à la droite, où diriez-vous que vous vous situez ?Cliquer sur le curseur pour vous positionner"
1st round vote,Le Pen,993.0248,0.00717898586218592,0.04747344678602186,0.1393231065326868,0.3110699752916543,0.3029297959124485,0.00534706,0.00183192,0.00571175,0.02376265,0.01799905,0.13932311,0.04540206000000001,0.10293479,0.1627332,0.11770109,0.1849999,0.19225342,"nou1. Sur une échelle de 0 à 10, où 0 correspond à la gauche et 10 correspond à la droite, où diriez-vous que vous vous situez ?Cliquer sur le curseur pour vous positionner"
1st round vote,Lassalle,134.5409,0,0.1649999,0.23842311148505774,0.28467952867863977,0.025,0.0,0.0,0.01999117,0.08147664,0.06353872,0.23842311,0.12990258,0.09072371,0.06405333,0.01958291,0.005,0.2873078300000001,"nou1. Sur une échelle de 0 à 10, où 0 correspond à la gauche et 10 correspond à la droite, où diriez-vous que vous vous situez ?Cliquer sur le curseur pour vous positionner"
1st round vote,Blank/Null/NA,96.61228,0.026946170818036796,0.1349999,0.2535399226682157,0.1693308552494569,0.015,0.00751388,0.01943228,0.02421012,0.05033076,0.06199756,0.25353992,0.050248650000000006,0.04433797,0.075,0.00707141,0.00565079,0.40066666,"nou1. Sur une échelle de 0 à 10, où 0 correspond à la gauche et 10 correspond à la droite, où diriez-vous que vous vous situez ?Cliquer sur le curseur pour vous positionner"
1st round vote,Blank,63.86856,0.013561353191617283,0.17429937358850742,0.2699099525650805,0.15918411186975248,0.01924452344001493,0.0,0.01356135,0.03328588,0.05370038,0.08731313,0.2687105400000002,0.04882187999999999,0.04099953,0.06936278,0.01069673,0.0085478,0.365,"nou1. Sur une échelle de 0 à 10, où 0 correspond à la gauche et 10 correspond à la droite, où diriez-vous que vous vous situez ?Cliquer sur le curseur pour vous positionner"
1st round vote,Null,19.09123,0.07799031282950339,0.054999900000000004,0.235,0.21797621211414875,0,0.03802443,0.0399659,0.0,0.0342788,0.02164142,0.235,0.06403417,0.06733448,0.08660762,0.0,0.0,0.41311318000000014,"nou1. Sur une échelle de 0 à 10, où 0 correspond à la gauche et 10 correspond à la droite, où diriez-vous que vous vous situez ?Cliquer sur le curseur pour vous positionner"
2nd round vote,Macron,2287.563,0.04145436868842519,0.27964265902184987,0.1785506672384542,0.35878565967363524,0.034867708561469125,0.01168954,0.029764819999999997,0.06712362,0.10379137000000001,0.10872763,0.17855067,0.12979909,0.13862691,0.09035983,0.02359222,0.0112755,0.10670084000000002,"nou1. Sur une échelle de 0 à 10, où 0 correspond à la gauche et 10 correspond à la droite, où diriez-vous que vous vous situez ?Cliquer sur le curseur pour vous positionner"
2nd round vote,Le Pen,1619.66,0.020297235222207128,0.0749143647432177,0.12625804181124434,0.31078423866737465,0.2624721237790647,0.010587799999999998,0.00970944,0.02232522,0.03027382,0.02231533,0.12625804,0.04806528,0.09875244999999999,0.16396663,0.11329767,0.14917439,0.20527333,"nou1. Sur une échelle de 0 à 10, où 0 correspond à la gauche et 10 correspond à la droite, où diriez-vous que vous vous situez ?Cliquer sur le curseur pour vous positionner"
2nd round vote,Blank/Null/NA,370.4173,0.09983127137960349,0.385,0.14907249202453557,0.19009706080142583,0.0149999,0.03636599,0.06346529,0.15755787,0.15680528,0.06878901,0.14907249,0.03984938,0.06810214,0.08214554,0.01047167,0.0049999,0.16237543999999995,"nou1. Sur une échelle de 0 à 10, où 0 correspond à la gauche et 10 correspond à la droite, où diriez-vous que vous vous situez ?Cliquer sur le curseur pour vous positionner"
